,Year,State,Commodity,Data Type,Value
507,2015,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",44000
508,2014,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",48000
509,2013,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",50000
510,2012,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",41000
511,2011,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",36000
512,2010,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",36000
513,2009,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",37000
514,2008,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
515,2007,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",29000
516,2006,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
517,2005,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
518,2004,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
519,2003,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",34000
520,2002,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
521,2001,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
522,2000,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",43000
523,1999,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",48000
524,1998,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",41000
525,1997,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",44000
526,1996,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",44000
527,1995,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",38000
528,1994,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
529,1993,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",47000
530,1992,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",45000
531,1991,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
532,1990,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",38000
533,1989,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
534,1988,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",38000
535,1987,LOUISIANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",35000
536,2019,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
537,2018,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
538,2017,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
539,2016,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
540,2015,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
541,2014,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
542,2013,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
543,2012,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
544,2011,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
545,2010,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",5000
546,2009,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
547,2008,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
548,2007,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
549,2006,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
550,2005,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
551,2004,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
552,2003,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
553,2002,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
554,2001,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
555,2000,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
556,1999,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
557,1998,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
558,1997,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
559,1996,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
560,1995,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
561,1994,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
562,1993,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
563,1992,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
564,1991,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",13000
565,1990,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",20000
566,1989,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
567,1988,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
568,1987,MAINE,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
569,2003,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",2000
570,2002,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",3000
571,2001,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",4000
572,2000,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
573,1999,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
574,1998,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
575,1997,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
576,1996,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
577,1995,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
578,1994,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
579,1993,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
580,1992,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",6000
581,1991,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
582,1990,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
583,1989,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
584,1988,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
585,1987,MARYLAND,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
586,1990,MASSACHUSETTS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
587,1989,MASSACHUSETTS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
588,1988,MASSACHUSETTS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
589,1987,MASSACHUSETTS,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
590,2019,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",94000
591,2018,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",97000
592,2017,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",87000
593,2016,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",89000
594,2015,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",90000
595,2014,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",91000
596,2013,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",85000
597,2012,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",73000
598,2011,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",74000
599,2010,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",71000
600,2009,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",66000
601,2008,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",71000
602,2007,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",72000
603,2006,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",72000
604,2005,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
605,2004,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
606,2003,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",65000
607,2002,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",72000
608,2001,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",76000
609,2000,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",72000
610,1999,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",73000
611,1998,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",80000
612,1997,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",85000
613,1996,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",90000
614,1995,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",97000
615,1994,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",90000
616,1993,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",90000
617,1992,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",95000
618,1991,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",105000
619,1990,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
620,1989,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",102000
621,1988,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",95000
622,1987,MICHIGAN,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",93000
623,2019,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",118000
624,2018,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",119000
625,2017,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",126000
626,2016,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",124000
627,2015,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",122000
628,2014,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",132000
629,2013,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",130000
630,2012,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",125000
631,2011,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
632,2010,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",128000
633,2009,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",122000
634,2008,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",122000
635,2007,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",130000
636,2006,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",125000
637,2005,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
638,2004,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",135000
639,2003,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",120000
640,2002,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",117000
641,2001,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",135000
642,2000,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",150000
643,1999,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",145000
644,1998,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",140000
645,1997,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",145000
646,1996,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",150000
647,1995,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",165000
648,1994,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",170000
649,1993,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",180000
650,1992,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",190000
651,1991,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",180000
652,1990,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",170000
653,1989,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",165000
654,1988,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",160000
655,1987,MINNESOTA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",160000
656,2019,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
657,2018,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",20000
658,2017,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
659,2016,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",19000
660,2015,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
661,2014,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",20000
662,2013,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
663,2012,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
664,2011,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
665,2010,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
666,2009,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
667,2008,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
668,2007,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
669,2006,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
670,2005,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
671,2004,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
672,2003,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",21000
673,2002,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
674,2001,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
675,2000,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
676,1999,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
677,1998,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
678,1997,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",19000
679,1996,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
680,1995,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
681,1994,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",19000
682,1993,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
683,1992,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
684,1991,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
685,1990,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
686,1989,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
687,1988,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",21000
688,1987,MISSISSIPPI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",19000
689,2019,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
690,2018,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",9000
691,2017,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
692,2016,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
693,2015,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
694,2014,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",12000
695,2013,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",10000
696,2012,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",7000
697,2011,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",8000
698,2010,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
699,2009,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
700,2008,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",11000
701,2007,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",14000
702,2006,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
703,2005,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",15000
704,2004,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",16000
705,2003,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",17000
706,2002,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",18000
707,2001,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
708,2000,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
709,1999,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
710,1998,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
711,1997,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
712,1996,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",22000
713,1995,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",23000
714,1994,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
715,1993,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",24000
716,1992,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",25000
717,1991,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",28000
718,1990,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
719,1989,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",33000
720,1988,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
721,1987,MISSOURI,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",30000
722,2019,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",173000
723,2018,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",160000
724,2017,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",145000
725,2016,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",159000
726,2015,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",146000
727,2014,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",162000
728,2013,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",159000
729,2012,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",145000
730,2011,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",145000
731,2010,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",157000
732,2009,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",146000
733,2008,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",134000
734,2007,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",135000
735,2006,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",132000
736,2005,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",130000
737,2004,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",140000
738,2003,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",145000
739,2002,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",134000
740,2001,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",136000
741,2000,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",124000
742,1999,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",122000
743,1998,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",115000
744,1997,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",107000
745,1996,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",117000
746,1995,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",106000
747,1994,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",119000
748,1993,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",95000
749,1992,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",87000
750,1991,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",86000
751,1990,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",98000
752,1989,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",100000
753,1988,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",105000
754,1987,MONTANA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",95000
755,2019,NEBRASKA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",39000
756,2018,NEBRASKA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",40000
757,2017,NEBRASKA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",42000
758,2016,NEBRASKA,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",48000
